model,horizon,mae,rmse,wape,mape,r2,mean_bias
TimesFM Zero-Shot,18,1253.2118700380352,1529.6736911262185,25.692105869049698,26.294243691676133,-0.4013413558339205,-990.5070401613686
TimesFM Zero-Shot,19,7396.078039040186,7569.441119273146,151.53380540467444,155.30572302406364,-33.23181820554117,-7396.078039040186
TimesFM Zero-Shot,20,7960.298422977826,8139.185667516577,162.9778982889286,167.32009589491042,-38.48686932633978,-7960.298422977826
TimesFM Zero-Shot,21,3229.5531649482696,3451.107731226806,66.0875952717222,63.7526081623953,-6.086797394415567,-3219.0762120133004
TimesFM Zero-Shot,22,4140.661084365066,4321.982855900965,84.70613956368638,83.81388076808608,-10.095221345919619,-4140.661084365066
TimesFM Zero-Shot,23,3428.4018962499485,3634.4364913156323,70.11809639080673,68.06371180086222,-6.8339717809216145,-3428.3485203916002
TimesFM Zero-Shot,24,6295.498900389323,6452.226798845335,128.68937256836318,131.28223230379652,-23.664091964055395,-6295.498900389323
TimesFM LoRA (Primary),1,464.49317997938215,644.6117100985581,9.579279076183996,10.787019276231913,0.7562287157746509,-144.41492252657264
TimesFM LoRA (Primary),2,562.6199601481427,735.2221964534516,11.607343655238317,13.176103619662774,0.681807191375827,-180.55629837367425
TimesFM LoRA (Primary),3,508.2518665711452,695.5068097493603,10.485086895402203,11.729638001275342,0.7151483200115867,-161.31878714579688
TimesFM LoRA (Primary),4,562.1402992722425,752.996645938473,11.596946065589576,12.766758238368183,0.6661331371506394,-223.7213528953289
TimesFM LoRA (Primary),5,550.2970178297435,760.3143033898738,11.352525416395956,12.743111645291888,0.6596690543185384,-196.60097527635463
TimesFM LoRA (Primary),6,530.4170560111901,733.3647468311176,10.942461867902818,12.39837187175611,0.6832380465204259,-146.69616815793714
TimesFM LoRA (Primary),7,555.8331949879973,770.211684868295,11.465972736557353,12.705658319112484,0.6501088039933618,-178.36606885310547
TimesFM LoRA (Primary),8,610.1660680394193,832.3477144365868,12.583178477797594,14.087658743032483,0.5900456012105777,-230.4913317845995
TimesFM LoRA (Primary),9,641.1431549364061,858.4508532427934,13.215526919025184,15.061324378081501,0.5621145947621686,-240.86914926983138
TimesFM LoRA (Primary),10,678.1518695246893,881.0156778846808,13.969258482960425,15.999127009269282,0.5370177026166554,-224.8544269052915
